instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
16412674,64112,ALKEM25AUGFUT,ALKEM,0.0,2025-08-28,0.0,0.1,125,FUT,NFO-FUT,NFO
13573378,53021,ALKEM25SEPFUT,ALKEM,0.0,2025-09-30,0.0,0.1,125,FUT,NFO-FUT,NFO
13574914,53027,AMBER25JULFUT,AMBER,0.0,2025-07-31,0.0,0.5,100,FUT,NFO-FUT,NFO
13575170,53028,AMBER25AUGFUT,AMBER,0.0,2025-08-28,0.0,0.5,100,FUT,NFO-FUT,NFO
13575938,53031,AMBER25SEPFUT,AMBER,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13628162,53235,AMBUJACEM25JULFUT,AMBUJACEM,0.0,2025-07-31,0.0,0.05,1050,FUT,NFO-FUT,NFO
16412930,64113,AMBUJACEM25AUGFUT,AMBUJACEM,0.0,2025-08-28,0.0,0.05,1050,FUT,NFO-FUT,NFO
13576194,53032,AMBUJACEM25SEPFUT,AMBUJACEM,0.0,2025-09-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
13628418,53236,ANGELONE25JULFUT,ANGELONE,0.0,2025-07-31,0.0,0.1,250,FUT,NFO-FUT,NFO
16413186,64114,ANGELONE25AUGFUT,ANGELONE,0.0,2025-08-28,0.0,0.1,250,FUT,NFO-FUT,NFO
13576450,53033,ANGELONE25SEPFUT,ANGELONE,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13629442,53240,APLAPOLLO25JULFUT,APLAPOLLO,0.0,2025-07-31,0.0,0.1,350,FUT,NFO-FUT,NFO
16413442,64115,APLAPOLLO25AUGFUT,APLAPOLLO,0.0,2025-08-28,0.0,0.1,350,FUT,NFO-FUT,NFO
13576706,53034,APLAPOLLO25SEPFUT,APLAPOLLO,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13629698,53241,APOLLOHOSP25JULFUT,APOLLOHOSP,0.0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO
16413698,64116,APOLLOHOSP25AUGFUT,APOLLOHOSP,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13577218,53036,APOLLOHOSP25SEPFUT,APOLLOHOSP,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13630466,53244,ASHOKLEY25JULFUT,ASHOKLEY,0.0,2025-07-31,0.0,0.05,5000,FUT,NFO-FUT,NFO
16413954,64117,ASHOKLEY25AUGFUT,ASHOKLEY,0.0,2025-08-28,0.0,0.05,5000,FUT,NFO-FUT,NFO
13577474,53037,ASHOKLEY25SEPFUT,ASHOKLEY,0.0,2025-09-30,0.0,0.05,5000,FUT,NFO-FUT,NFO
13630722,53245,ASIANPAINT25JULFUT,ASIANPAINT,0.0,2025-07-31,0.0,0.1,250,FUT,NFO-FUT,NFO
16414210,64118,ASIANPAINT25AUGFUT,ASIANPAINT,0.0,2025-08-28,0.0,0.1,250,FUT,NFO-FUT,NFO
13577986,53039,ASIANPAINT25SEPFUT,ASIANPAINT,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13630978,53246,ASTRAL25JULFUT,ASTRAL,0.0,2025-07-31,0.0,0.1,425,FUT,NFO-FUT,NFO
16414466,64119,ASTRAL25AUGFUT,ASTRAL,0.0,2025-08-28,0.0,0.1,425,FUT,NFO-FUT,NFO
13578242,53040,ASTRAL25SEPFUT,ASTRAL,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13631234,53247,ATGL25JULFUT,ATGL,0.0,2025-07-31,0.0,0.05,875,FUT,NFO-FUT,NFO
16414722,64120,ATGL25AUGFUT,ATGL,0.0,2025-08-28,0.0,0.05,875,FUT,NFO-FUT,NFO
13631490,53248,AUBANK25JULFUT,AUBANK,0.0,2025-07-31,0.0,0.05,1000,FUT,NFO-FUT,NFO
16414978,64121,AUBANK25AUGFUT,AUBANK,0.0,2025-08-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
13578498,53041,AUBANK25SEPFUT,AUBANK,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13631746,53249,AUROPHARMA25JULFUT,AUROPHARMA,0.0,2025-07-31,0.0,0.1,550,FUT,NFO-FUT,NFO
16436738,64206,AUROPHARMA25AUGFUT,AUROPHARMA,0.0,2025-08-28,0.0,0.1,550,FUT,NFO-FUT,NFO
13578754,53042,AUROPHARMA25SEPFUT,AUROPHARMA,0.0,2025-09-30,0.0,0.1,550,FUT,NFO-FUT,NFO
13632002,53250,AXISBANK25JULFUT,AXISBANK,0.0,2025-07-31,0.0,0.1,625,FUT,NFO-FUT,NFO
16436994,64207,AXISBANK25AUGFUT,AXISBANK,0.0,2025-08-28,0.0,0.1,625,FUT,NFO-FUT,NFO
13579010,53043,AXISBANK25SEPFUT,AXISBANK,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13632258,53251,BAJAJ-AUTO25JULFUT,BAJAJ-AUTO,0.0,2025-07-31,0.0,0.5,75,FUT,NFO-FUT,NFO
16439554,64217,BAJAJ-AUTO25AUGFUT,BAJAJ-AUTO,0.0,2025-08-28,0.0,0.5,75,FUT,NFO-FUT,NFO
13579266,53044,BAJAJ-AUTO25SEPFUT,BAJAJ-AUTO,0.0,2025-09-30,0.0,0.5,75,FUT,NFO-FUT,NFO
13632514,53252,BAJAJFINSV25JULFUT,BAJAJFINSV,0.0,2025-07-31,0.0,0.1,500,FUT,NFO-FUT,NFO
16440066,64219,BAJAJFINSV25AUGFUT,BAJAJFINSV,0.0,2025-08-28,0.0,0.1,500,FUT,NFO-FUT,NFO
13579522,53045,BAJAJFINSV25SEPFUT,BAJAJFINSV,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13632770,53253,BAJFINANCE25JULFUT,BAJFINANCE,0.0,2025-07-31,0.0,0.05,750,FUT,NFO-FUT,NFO
16440322,64220,BAJFINANCE25AUGFUT,BAJFINANCE,0.0,2025-08-28,0.0,0.05,750,FUT,NFO-FUT,NFO
13579778,53046,BAJFINANCE25SEPFUT,BAJFINANCE,0.0,2025-09-30,0.0,0.05,750,FUT,NFO-FUT,NFO
13633026,53254,BALKRISIND25JULFUT,BALKRISIND,0.0,2025-07-31,0.0,0.1,300,FUT,NFO-FUT,NFO
13633282,53255,BANDHANBNK25JULFUT,BANDHANBNK,0.0,2025-07-31,0.0,0.01,3600,FUT,NFO-FUT,NFO
16440578,64221,BANDHANBNK25AUGFUT,BANDHANBNK,0.0,2025-08-28,0.0,0.01,3600,FUT,NFO-FUT,NFO
13580034,53047,BANDHANBNK25SEPFUT,BANDHANBNK,0.0,2025-09-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
13633538,53256,BANKBARODA25JULFUT,BANKBARODA,0.0,2025-07-31,0.0,0.01,2925,FUT,NFO-FUT,NFO
16440834,64222,BANKBARODA25AUGFUT,BANKBARODA,0.0,2025-08-28,0.0,0.01,2925,FUT,NFO-FUT,NFO
13580290,53048,BANKBARODA25SEPFUT,BANKBARODA,0.0,2025-09-30,0.0,0.01,2925,FUT,NFO-FUT,NFO
13633794,53257,BANKINDIA25JULFUT,BANKINDIA,0.0,2025-07-31,0.0,0.01,5200,FUT,NFO-FUT,NFO
16441090,64223,BANKINDIA25AUGFUT,BANKINDIA,0.0,2025-08-28,0.0,0.01,5200,FUT,NFO-FUT,NFO
13580546,53049,BANKINDIA25SEPFUT,BANKINDIA,0.0,2025-09-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
16441602,64225,BDL25JULFUT,BDL,0.0,2025-07-31,0.0,0.1,325,FUT,NFO-FUT,NFO
16441858,64226,BDL25AUGFUT,BDL,0.0,2025-08-28,0.0,0.1,325,FUT,NFO-FUT,NFO
13580802,53050,BDL25SEPFUT,BDL,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13634050,53258,BEL25JULFUT,BEL,0.0,2025-07-31,0.0,0.05,2850,FUT,NFO-FUT,NFO
16442114,64227,BEL25AUGFUT,BEL,0.0,2025-08-28,0.0,0.05,2850,FUT,NFO-FUT,NFO
13581058,53051,BEL25SEPFUT,BEL,0.0,2025-09-30,0.0,0.05,2850,FUT,NFO-FUT,NFO
13634306,53259,BHARATFORG25JULFUT,BHARATFORG,0.0,2025-07-31,0.0,0.1,500,FUT,NFO-FUT,NFO
16442370,64228,BHARATFORG25AUGFUT,BHARATFORG,0.0,2025-08-28,0.0,0.1,500,FUT,NFO-FUT,NFO
13581314,53052,BHARATFORG25SEPFUT,BHARATFORG,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13634562,53260,BHARTIARTL25JULFUT,BHARTIARTL,0.0,2025-07-31,0.0,0.1,475,FUT,NFO-FUT,NFO
16442626,64229,BHARTIARTL25AUGFUT,BHARTIARTL,0.0,2025-08-28,0.0,0.1,475,FUT,NFO-FUT,NFO
13582082,53055,BHARTIARTL25SEPFUT,BHARTIARTL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13634818,53261,BHEL25JULFUT,BHEL,0.0,2025-07-31,0.0,0.05,2625,FUT,NFO-FUT,NFO
16442882,64230,BHEL25AUGFUT,BHEL,0.0,2025-08-28,0.0,0.05,2625,FUT,NFO-FUT,NFO
13582338,53056,BHEL25SEPFUT,BHEL,0.0,2025-09-30,0.0,0.05,2625,FUT,NFO-FUT,NFO
13635074,53262,BIOCON25JULFUT,BIOCON,0.0,2025-07-31,0.0,0.05,2500,FUT,NFO-FUT,NFO
16443138,64231,BIOCON25AUGFUT,BIOCON,0.0,2025-08-28,0.0,0.05,2500,FUT,NFO-FUT,NFO
13582594,53057,BIOCON25SEPFUT,BIOCON,0.0,2025-09-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
16443650,64233,BLUESTARCO25JULFUT,BLUESTARCO,0.0,2025-07-31,0.0,0.1,325,FUT,NFO-FUT,NFO
16447490,64248,BLUESTARCO25AUGFUT,BLUESTARCO,0.0,2025-08-28,0.0,0.1,325,FUT,NFO-FUT,NFO
13582850,53058,BLUESTARCO25SEPFUT,BLUESTARCO,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13635330,53263,BOSCHLTD25JULFUT,BOSCHLTD,0.0,2025-07-31,0.0,5.0,25,FUT,NFO-FUT,NFO
16447746,64249,BOSCHLTD25AUGFUT,BOSCHLTD,0.0,2025-08-28,0.0,5.0,25,FUT,NFO-FUT,NFO
13583106,53059,BOSCHLTD25SEPFUT,BOSCHLTD,0.0,2025-09-30,0.0,5.0,25,FUT,NFO-FUT,NFO
13635586,53264,BPCL25JULFUT,BPCL,0.0,2025-07-31,0.0,0.05,1975,FUT,NFO-FUT,NFO
16479234,64372,BPCL25AUGFUT,BPCL,0.0,2025-08-28,0.0,0.05,1975,FUT,NFO-FUT,NFO
13583362,53060,BPCL25SEPFUT,BPCL,0.0,2025-09-30,0.0,0.05,1975,FUT,NFO-FUT,NFO
13635842,53265,BRITANNIA25JULFUT,BRITANNIA,0.0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO
16479490,64373,BRITANNIA25AUGFUT,BRITANNIA,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13583618,53061,BRITANNIA25SEPFUT,BRITANNIA,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13636610,53268,BSE25JULFUT,BSE,0.0,2025-07-31,0.0,0.1,375,FUT,NFO-FUT,NFO
16480770,64378,BSE25AUGFUT,BSE,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13583874,53062,BSE25SEPFUT,BSE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13636866,53269,BSOFT25JULFUT,BSOFT,0.0,2025-07-31,0.0,0.05,1300,FUT,NFO-FUT,NFO
13637122,53270,CAMS25JULFUT,CAMS,0.0,2025-07-31,0.0,0.1,150,FUT,NFO-FUT,NFO
16481026,64379,CAMS25AUGFUT,CAMS,0.0,2025-08-28,0.0,0.1,150,FUT,NFO-FUT,NFO
13584130,53063,CAMS25SEPFUT,CAMS,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13637890,53273,CANBK25JULFUT,CANBK,0.0,2025-07-31,0.0,0.01,6750,FUT,NFO-FUT,NFO
16481282,64380,CANBK25AUGFUT,CANBK,0.0,2025-08-28,0.0,0.01,6750,FUT,NFO-FUT,NFO
13584386,53064,CANBK25SEPFUT,CANBK,0.0,2025-09-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
13638146,53274,CDSL25JULFUT,CDSL,0.0,2025-07-31,0.0,0.1,475,FUT,NFO-FUT,NFO
16481538,64381,CDSL25AUGFUT,CDSL,0.0,2025-08-28,0.0,0.1,475,FUT,NFO-FUT,NFO
13584642,53065,CDSL25SEPFUT,CDSL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13638402,53275,CESC25JULFUT,CESC,0.0,2025-07-31,0.0,0.01,3625,FUT,NFO-FUT,NFO
16481794,64382,CESC25AUGFUT,CESC,0.0,2025-08-28,0.0,0.01,3625,FUT,NFO-FUT,NFO
13638658,53276,CGPOWER25JULFUT,CGPOWER,0.0,2025-07-31,0.0,0.05,850,FUT,NFO-FUT,NFO
16482050,64383,CGPOWER25AUGFUT,CGPOWER,0.0,2025-08-28,0.0,0.05,850,FUT,NFO-FUT,NFO
13584898,53066,CGPOWER25SEPFUT,CGPOWER,0.0,2025-09-30,0.0,0.05,850,FUT,NFO-FUT,NFO
13638914,53277,CHAMBLFERT25JULFUT,CHAMBLFERT,0.0,2025-07-31,0.0,0.05,950,FUT,NFO-FUT,NFO
13639170,53278,CHOLAFIN25JULFUT,CHOLAFIN,0.0,2025-07-31,0.0,0.1,625,FUT,NFO-FUT,NFO
16483074,64387,CHOLAFIN25AUGFUT,CHOLAFIN,0.0,2025-08-28,0.0,0.1,625,FUT,NFO-FUT,NFO
13585410,53068,CHOLAFIN25SEPFUT,CHOLAFIN,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13639426,53279,CIPLA25JULFUT,CIPLA,0.0,2025-07-31,0.0,0.1,375,FUT,NFO-FUT,NFO
16483330,64388,CIPLA25AUGFUT,CIPLA,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13585666,53069,CIPLA25SEPFUT,CIPLA,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13639682,53280,COALINDIA25JULFUT,COALINDIA,0.0,2025-07-31,0.0,0.05,1350,FUT,NFO-FUT,NFO
16483842,64390,COALINDIA25AUGFUT,COALINDIA,0.0,2025-08-28,0.0,0.05,1350,FUT,NFO-FUT,NFO
13586178,53071,COALINDIA25SEPFUT,COALINDIA,0.0,2025-09-30,0.0,0.05,1350,FUT,NFO-FUT,NFO
13639938,53281,COFORGE25JULFUT,COFORGE,0.0,2025-07-31,0.0,0.1,375,FUT,NFO-FUT,NFO
16484098,64391,COFORGE25AUGFUT,COFORGE,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13590018,53086,COFORGE25SEPFUT,COFORGE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13640706,53284,COLPAL25JULFUT,COLPAL,0.0,2025-07-31,0.0,0.1,225,FUT,NFO-FUT,NFO
16484354,64392,COLPAL25AUGFUT,COLPAL,0.0,2025-08-28,0.0,0.1,225,FUT,NFO-FUT,NFO
13590274,53087,COLPAL25SEPFUT,COLPAL,0.0,2025-09-30,0.0,0.1,225,FUT,NFO-FUT,NFO
13641986,53289,CONCOR25JULFUT,CONCOR,0.0,2025-07-31,0.0,0.05,1250,FUT,NFO-FUT,NFO
16484610,64393,CONCOR25AUGFUT,CONCOR,0.0,2025-08-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
13594626,53104,CONCOR25SEPFUT,CONCOR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13642242,53290,CROMPTON25JULFUT,CROMPTON,0.0,2025-07-31,0.0,0.05,1800,FUT,NFO-FUT,NFO
16484866,64394,CROMPTON25AUGFUT,CROMPTON,0.0,2025-08-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
13594882,53105,CROMPTON25SEPFUT,CROMPTON,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13642498,53291,CUMMINSIND25JULFUT,CUMMINSIND,0.0,2025-07-31,0.0,0.1,200,FUT,NFO-FUT,NFO
16485122,64395,CUMMINSIND25AUGFUT,CUMMINSIND,0.0,2025-08-28,0.0,0.1,200,FUT,NFO-FUT,NFO
13598978,53121,CUMMINSIND25SEPFUT,CUMMINSIND,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13642754,53292,CYIENT25JULFUT,CYIENT,0.0,2025-07-31,0.0,0.1,425,FUT,NFO-FUT,NFO
16485378,64396,CYIENT25AUGFUT,CYIENT,0.0,2025-08-28,0.0,0.1,425,FUT,NFO-FUT,NFO
13599234,53122,CYIENT25SEPFUT,CYIENT,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13643010,53293,DABUR25JULFUT,DABUR,0.0,2025-07-31,0.0,0.05,1250,FUT,NFO-FUT,NFO
16485634,64397,DABUR25AUGFUT,DABUR,0.0,2025-08-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
13601538,53131,DABUR25SEPFUT,DABUR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13643266,53294,DALBHARAT25JULFUT,DALBHARAT,0.0,2025-07-31,0.0,0.1,325,FUT,NFO-FUT,NFO
16485890,64398,DALBHARAT25AUGFUT,DALBHARAT,0.0,2025-08-28,0.0,0.1,325,FUT,NFO-FUT,NFO
13601794,53132,DALBHARAT25SEPFUT,DALBHARAT,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13643522,53295,DELHIVERY25JULFUT,DELHIVERY,0.0,2025-07-31,0.0,0.05,2075,FUT,NFO-FUT,NFO
16486146,64399,DELHIVERY25AUGFUT,DELHIVERY,0.0,2025-08-28,0.0,0.05,2075,FUT,NFO-FUT,NFO
13602050,53133,DELHIVERY25SEPFUT,DELHIVERY,0.0,2025-09-30,0.0,0.05,2075,FUT,NFO-FUT,NFO
13643778,53296,DIVISLAB25JULFUT,DIVISLAB,0.0,2025-07-31,0.0,0.5,100,FUT,NFO-FUT,NFO
16486402,64400,DIVISLAB25AUGFUT,DIVISLAB,0.0,2025-08-28,0.0,0.5,100,FUT,NFO-FUT,NFO
13602306,53134,DIVISLAB25SEPFUT,DIVISLAB,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13644034,53297,DIXON25JULFUT,DIXON,0.0,2025-07-31,0.0,1.0,50,FUT,NFO-FUT,NFO
16486658,64401,DIXON25AUGFUT,DIXON,0.0,2025-08-28,0.0,1.0,50,FUT,NFO-FUT,NFO
13602562,53135,DIXON25SEPFUT,DIXON,0.0,2025-09-30,0.0,1.0,50,FUT,NFO-FUT,NFO
13644290,53298,DLF25JULFUT,DLF,0.0,2025-07-31,0.0,0.05,825,FUT,NFO-FUT,NFO
16486914,64402,DLF25AUGFUT,DLF,0.0,2025-08-28,0.0,0.05,825,FUT,NFO-FUT,NFO
13602818,53136,DLF25SEPFUT,DLF,0.0,2025-09-30,0.0,0.05,825,FUT,NFO-FUT,NFO
13644546,53299,DMART25JULFUT,DMART,0.0,2025-07-31,0.0,0.1,150,FUT,NFO-FUT,NFO
16487170,64403,DMART25AUGFUT,DMART,0.0,2025-08-28,0.0,0.1,150,FUT,NFO-FUT,NFO
13603330,53138,DMART25SEPFUT,DMART,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13644802,53300,DRREDDY25JULFUT,DRREDDY,0.0,2025-07-31,0.0,0.1,625,FUT,NFO-FUT,NFO
16487426,64404,DRREDDY25AUGFUT,DRREDDY,0.0,2025-08-28,0.0,0.1,625,FUT,NFO-FUT,NFO
13603586,53139,DRREDDY25SEPFUT,DRREDDY,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13645058,53301,EICHERMOT25JULFUT,EICHERMOT,0.0,2025-07-31,0.0,0.5,175,FUT,NFO-FUT,NFO
16487682,64405,EICHERMOT25AUGFUT,EICHERMOT,0.0,2025-08-28,0.0,0.5,175,FUT,NFO-FUT,NFO
13606146,53149,EICHERMOT25SEPFUT,EICHERMOT,0.0,2025-09-30,0.0,0.5,175,FUT,NFO-FUT,NFO
13645314,53302,ETERNAL25JULFUT,ETERNAL,0.0,2025-07-31,0.0,0.05,2425,FUT,NFO-FUT,NFO
16488194,64407,ETERNAL25AUGFUT,ETERNAL,0.0,2025-08-28,0.0,0.05,2425,FUT,NFO-FUT,NFO
13606402,53150,ETERNAL25SEPFUT,ETERNAL,0.0,2025-09-30,0.0,0.05,2425,FUT,NFO-FUT,NFO
13645570,53303,EXIDEIND25JULFUT,EXIDEIND,0.0,2025-07-31,0.0,0.05,1800,FUT,NFO-FUT,NFO
16488706,64409,EXIDEIND25AUGFUT,EXIDEIND,0.0,2025-08-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
13606658,53151,EXIDEIND25SEPFUT,EXIDEIND,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13645826,53304,FEDERALBNK25JULFUT,FEDERALBNK,0.0,2025-07-31,0.0,0.01,5000,FUT,NFO-FUT,NFO
16488962,64410,FEDERALBNK25AUGFUT,FEDERALBNK,0.0,2025-08-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
13606914,53152,FEDERALBNK25SEPFUT,FEDERALBNK,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13622786,53214,FINNIFTY25JULFUT,FINNIFTY,0.0,2025-07-31,0.0,0.1,65,FUT,NFO-FUT,NFO
16409858,64101,FINNIFTY25AUGFUT,FINNIFTY,0.0,2025-08-28,0.0,0.1,65,FUT,NFO-FUT,NFO
13567234,52997,FINNIFTY25SEPFUT,FINNIFTY,0.0,2025-09-30,0.0,0.1,65,FUT,NFO-FUT,NFO
16489474,64412,FORTIS25JULFUT,FORTIS,0.0,2025-07-31,0.0,0.05,775,FUT,NFO-FUT,NFO
16489730,64413,FORTIS25AUGFUT,FORTIS,0.0,2025-08-28,0.0,0.05,775,FUT,NFO-FUT,NFO
13607426,53154,FORTIS25SEPFUT,FORTIS,0.0,2025-09-30,0.0,0.05,775,FUT,NFO-FUT,NFO
13646082,53305,GAIL25JULFUT,GAIL,0.0,2025-07-31,0.0,0.01,3150,FUT,NFO-FUT,NFO
16489986,64414,GAIL25AUGFUT,GAIL,0.0,2025-08-28,0.0,0.01,3150,FUT,NFO-FUT,NFO
13608706,53159,GAIL25SEPFUT,GAIL,0.0,2025-09-30,0.0,0.01,3150,FUT,NFO-FUT,NFO
13646338,53306,GLENMARK25JULFUT,GLENMARK,0.0,2025-07-31,0.0,0.1,375,FUT,NFO-FUT,NFO
16490242,64415,GLENMARK25AUGFUT,GLENMARK,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13608962,53160,GLENMARK25SEPFUT,GLENMARK,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13646594,53307,GMRAIRPORT25JULFUT,GMRAIRPORT,0.0,2025-07-31,0.0,0.01,6975,FUT,NFO-FUT,NFO
